Location ID,City Name,State Province Name,Country Name,Developing Flag,Wealt Rank Number
1,Marysville,Washington,USA,,161
2,Perris,California,USA,,319
3,Cleveland,Ohio,USA,,327
4,Worcester,Massachusetts,USA,,68
5,Columbia,South Carolina,USA,,244
6,Waterbury,Connecticut,USA,,248
7,Eagan,Minnesota,USA,,129
8,Southfield,Michigan,USA,,155
9,Lafayette,Louisiana,USA,,179
10,Boise City,Idaho,USA,,322
11,Elkhart,Indiana,USA,,58
12,Buena Park,California,USA,,328
13,Marietta,Georgia,USA,,52
14,Parker,Colorado,USA,,130
15,West Palm Beach,Florida,USA,,288
16,Salem,Massachusetts,USA,,17
17,Aurora,Illinois,USA,,1
18,Leesburg,Virginia,USA,,159
19,Doral,Florida,USA,,60
20,Westminster,California,USA,,29
21,Lubbock,Texas,USA,,130
22,Overland Park,Kansas,USA,,74
23,Jackson,Mississippi,USA,,129
24,Gastonia,North Carolina,USA,,300
25,Daytona Beach,Florida,USA,,254
26,Kansas City,Missouri,USA,,54
27,Rancho Palos Verdes,California,USA,,31
28,Burnsville,Minnesota,USA,,305
29,Rowlett,Texas,USA,,151
30,Roswell,New Mexico,USA,,165
31,Montgomery,Alabama,USA,,247
32,Logan,Utah,USA,,56
33,Woburn,Massachusetts,USA,,205
34,Allentown,Pennsylvania,USA,,56
35,Mount Pleasant,South Carolina,USA,,188
36,Columbus,Georgia,USA,,130
37,Buffalo,New York,USA,,253
38,New Berlin,Wisconsin,USA,,66
39,North Richland Hills,Texas,USA,,166
40,Lima,Ohio,USA,,116
41,Sacramento,California,USA,,29
42,Fort Smith,Arkansas,USA,,79
43,East Providence,Rhode Island,USA,,57
44,Urbandale,Iowa,USA,,125
45,Mount Vernon,New York,USA,,184
46,Lakewood,Colorado,USA,,180
47,Henderson,Nevada,USA,,56
48,Covina,California,USA,,174
49,Stamford,Connecticut,USA,,180
50,Bloomington,Indiana,USA,,172
51,Kingsport,Tennessee,USA,,52
52,Spokane,Washington,USA,,140
53,Kennewick,Washington,USA,,313
54,Philadelphia,Pennsylvania,USA,,264
55,Bellingham,Washington,USA,,171
56,Visalia,California,USA,,66
57,La Crosse,Wisconsin,USA,,208
58,Council Bluffs,Iowa,USA,,287
59,North Lauderdale,Florida,USA,,215
60,Dallas,Texas,USA,,102
61,Antioch,California,USA,,15
62,Sterling Heights,Michigan,USA,,217
63,Deerfield Beach,Florida,USA,,30
64,Fishers,Indiana,USA,,257
65,Cheyenne,Wyoming,USA,,31
66,Murrieta,California,USA,,221
67,Lenexa,Kansas,USA,,195
68,Noblesville,Indiana,USA,,202
69,Southaven,Mississippi,USA,,36
70,Chino,California,USA,,79
71,Gaithersburg,Maryland,USA,,132
72,Fountain Valley,California,USA,,143
73,Frederick,Maryland,USA,,159
74,Greenville,North Carolina,USA,,320
75,DeKalb,Illinois,USA,,38
76,West Allis,Wisconsin,USA,,87
77,Thornton,Colorado,USA,,228
78,West Des Moines,Iowa,USA,,38
79,Fall River,Massachusetts,USA,,170
80,Tulare,California,USA,,224
81,Chula Vista,California,USA,,121
82,Coral Springs,Florida,USA,,20
83,Concord,North Carolina,USA,,141
84,Smyrna,Georgia,USA,,37
85,Apopka,Florida,USA,,112
86,Grand Forks,North Dakota,USA,,79
87,Lancaster,Ohio,USA,,219
88,Naperville,Illinois,USA,,259
89,Hollywood,Florida,USA,,104
90,Rogers,Arkansas,USA,,204
91,New Orleans,Louisiana,USA,,238
92,Lakewood,Washington,USA,,304
93,Oak Lawn,Illinois,USA,,57
94,Caldwell,Idaho,USA,,45
95,Portland,Oregon,USA,,280
96,Concord,California,USA,,54
97,Burien,Washington,USA,,10
98,St. Charles,Missouri,USA,,121
99,Waukesha,Wisconsin,USA,,42
100,Flagstaff,Arizona,USA,,182
101,Puyallup,Washington,USA,,328
102,Schenectady,New York,USA,,324
103,Denver,Colorado,USA,,325
104,Springfield,Illinois,USA,,130
105,Campbell,California,USA,,164
106,Moreno Valley,California,USA,,39
107,Kettering,Ohio,USA,,63
108,Lincoln Park,Michigan,USA,,134
109,Lake Havasu City,Arizona,USA,,212
110,North Little Rock,Arkansas,USA,,243
111,Reno,Nevada,USA,,294
112,Littleton,Colorado,USA,,292
113,Prescott,Arizona,USA,,29
114,Dublin,California,USA,,26
115,Texarkana,Texas,USA,,256
116,Portland,Maine,USA,,250
117,Brooklyn Park,Minnesota,USA,,174
118,West Haven,Connecticut,USA,,304
119,El Centro,California,USA,,117
120,The Colony,Texas,USA,,253
121,Flint,Michigan,USA,,248
122,Pittsburg,California,USA,,255
123,Buckeye,Arizona,USA,,319
124,Brea,California,USA,,181
125,Indio,California,USA,,174
126,Scottsdale,Arizona,USA,,195
127,Columbus,Ohio,USA,,239
128,Lancaster,Pennsylvania,USA,,123
129,Lincoln,Nebraska,USA,,134
130,Trenton,New Jersey,USA,,151
131,Boston,Massachusetts,USA,,65
132,Glendora,California,USA,,182
133,Rochester,Minnesota,USA,,231
134,Florissant,Missouri,USA,,10
135,Annapolis,Maryland,USA,,90
136,Chapel Hill,North Carolina,USA,,137
137,Lawrence,Indiana,USA,,333
138,Calexico,California,USA,,21
139,Calumet City,Illinois,USA,,265
140,Missoula,Montana,USA,,258
141,Clovis,California,USA,,92
142,Pearland,Texas,USA,,298
143,Gilbert,Arizona,USA,,43
144,Wausau,Wisconsin,USA,,38
145,Raleigh,North Carolina,USA,,144
146,Orange,California,USA,,267
147,Walnut Creek,California,USA,,31
148,Bremerton,Washington,USA,,217
149,Porterville,California,USA,,204
150,Marana,Arizona,USA,,140
151,Tallahassee,Florida,USA,,316
152,Conroe,Texas,USA,,224
153,Blacksburg,Virginia,USA,,76
154,San Antonio,Texas,USA,,27
155,Hartford,Connecticut,USA,,164
156,Waterloo,Iowa,USA,,292
157,Binghamton,New York,USA,,295
158,Meridian,Idaho,USA,,36
159,Fond du Lac,Wisconsin,USA,,16
160,Baytown,Texas,USA,,67
161,Cary,North Carolina,USA,,264
162,Weymouth Town,Massachusetts,USA,,142
163,Tulsa,Oklahoma,USA,,263
164,Mission,Texas,USA,,175
165,Cuyahoga Falls,Ohio,USA,,189
166,Malden,Massachusetts,USA,,147
167,Allen,Texas,USA,,279
168,Tucson,Arizona,USA,,310
169,Franklin,Tennessee,USA,,128
170,Shakopee,Minnesota,USA,,4
171,Jacksonville,Florida,USA,,289
172,Atlantic City,New Jersey,USA,,117
173,Erie,Pennsylvania,USA,,61
174,Merced,California,USA,,249
175,Abilene,Texas,USA,,48
176,Yorba Linda,California,USA,,227
177,Greenville,South Carolina,USA,,88
178,Huntersville,North Carolina,USA,,267
179,St. Clair Shores,Michigan,USA,,52
180,Harrisburg,Pennsylvania,USA,,19
181,San Buenaventura (Ventura),California,USA,,278
182,Fremont,California,USA,,40
183,Pueblo,Colorado,USA,,269
184,Chelsea,Massachusetts,USA,,277
185,Belleville,Illinois,USA,,170
186,Minneapolis,Minnesota,USA,,88
187,Bartlett,Tennessee,USA,,61
188,Wichita Falls,Texas,USA,,320
189,Missouri City,Texas,USA,,76
190,St. Louis,Missouri,USA,,305
191,Pharr,Texas,USA,,32
192,Albuquerque,New Mexico,USA,,191
193,Athens-Clarke County,Georgia,USA,,242
194,South Jordan,Utah,USA,,265
195,North Las Vegas,Nevada,USA,,316
196,Pomona,California,USA,,16
197,Eastvale,California,USA,,32
198,Grove City,Ohio,USA,,47
199,Lawrence,Kansas,USA,,251
