"city_name","state_name","disease_name","cases"
"Elkhart","Indiana","Hepatitis C (d)","1"
"Santa Rosa","California","Tuberculosis","1"
"Rancho Santa Margarita","California","Intestinal nematode infections","1"
"Worcester","Massachusetts","Leprosy","1"
"Cleveland","Ohio","Malaria","1"
"Nampa","Idaho","Diarrhoeal diseases","1"
"Perris","California","Hepatitis C (d)","1"
"Fargo","North Dakota","Leprosy","1"
"Montgomery","Alabama","Tuberculosis","1"
"Roswell","New Mexico","Upper respiratory infections","1"
"Charlottesville","Virginia","Lower respiratory infections","1"
"Hayward","California","Dengue","1"
"Burnsville","Minnesota","Other intestinal infections","1"
"Omaha","Nebraska","Trachoma","1"
"Waterbury","Connecticut","STDs excluding HIV","1"
"Marietta","Georgia","Leprosy","1"
"Daly City","California","Leprosy","1"
"Taylor","Michigan","Dengue","1"
"Fort Wayne","Indiana","Diarrhoeal diseases","1"
"Woburn","Massachusetts","HIV/AIDS","1"
"Palm Springs","California","Lower respiratory infections","1"
"Shoreline","Washington","Meningitis","1"
"Cape Girardeau","Missouri","HIV/AIDS","1"
"Logan","Utah","STDs excluding HIV","1"
"La Habra","California","Hepatitis C (d)","1"
"San Diego","California","Upper respiratory infections","1"
"Hanford","California","Other intestinal infections","1"
"Eagan","Minnesota","HIV/AIDS","1"
"Columbia","South Carolina","Tuberculosis","1"
"Buena Park","California","Malaria","1"
"Cleveland","Ohio","Hepatitis B (d)","1"
"Redlands","California","STDs excluding HIV","1"
"Boise City","Idaho","Hepatitis B (d)","1"
"Rialto","California","Malaria","1"
"Washington","District of Columbia","Meningitis","1"
"Bowie","Maryland","Intestinal nematode infections","1"
"Wheaton","Illinois","Hepatitis B (d)","1"
"Lancaster","Texas","Hepatitis C (d)","1"
"Madison","Alabama","Tuberculosis","1"
"Coral Gables","Florida","Upper respiratory infections","1"
"Coeur d'Alene","Idaho","Tuberculosis","1"
"El Monte","California","STDs excluding HIV","1"
"DeSoto","Texas","HIV/AIDS","1"
"Allentown","Pennsylvania","Diarrhoeal diseases","1"
"Rancho Palos Verdes","California","Intestinal nematode infections","1"
"Rowlett","Texas","Lower respiratory infections","1"
"Southfield","Michigan","Diarrhoeal diseases","1"
"Lynchburg","Virginia","Trachoma","1"
"Albany","New York","Malaria","1"
"Lafayette","Louisiana","Meningitis","1"
"Manhattan","Kansas","Other intestinal infections","1"
"Parker","Colorado","Dengue","1"
"Danbury","Connecticut","Other intestinal infections","1"
"Youngstown","Ohio","Upper respiratory infections","1"
"Cypress","California","Lower respiratory infections","1"
"Sparks","Nevada","Intestinal nematode infections","1"
"Peoria","Illinois","Dengue","1"
"West Palm Beach","Florida","Trachoma","1"
"Mount Pleasant","South Carolina","Meningitis","1"
"Maricopa","Arizona","STDs excluding HIV","1"
"Medford","Massachusetts","Hepatitis B (d)","1"
"Niagara Falls","New York","Trachoma","1"
