"disease_name","gender","race_desc","patient_count"
"HIV/AIDS","M","White, not of Hispanic origin","1"
"Lower respiratory infections","F","Black or African American, not of Hispanic origin","1"
"STDs excluding HIV","F","Unspecified","1"
"Malaria","F","Black or African American, not of Hispanic origin","1"
"STDs excluding HIV","F","Black or African American, not of Hispanic origin","1"
"Dengue","M","Asian","1"
"Other intestinal infections","F","Hispanic","1"
"Dengue","F","Unspecified","1"
"Leprosy","M","Hispanic","1"
"Leprosy","M","Black or African American, not of Hispanic origin","1"
"Trachoma","M","Black or African American, not of Hispanic origin","2"
"Tuberculosis","M","White, not of Hispanic origin","1"
"Dengue","M","Black or African American, not of Hispanic origin","1"
"Meningitis","M","White, not of Hispanic origin","1"
"Lower respiratory infections","F","Hispanic","1"
"Malaria","M","White, not of Hispanic origin","1"
"STDs excluding HIV","F","White, not of Hispanic origin","1"
"Hepatitis C (d)","F","White, not of Hispanic origin","1"
"Intestinal nematode infections","M","Black or African American, not of Hispanic origin","1"
"Hepatitis C (d)","M","Black or African American, not of Hispanic origin","2"
"Hepatitis B (d)","M","Black or African American, not of Hispanic origin","2"
"Diarrhoeal diseases","M","Black or African American, not of Hispanic origin","2"
"Tuberculosis","F","Black or African American, not of Hispanic origin","1"
"Lower respiratory infections","F","Unspecified","1"
"Trachoma","F","Hispanic","2"
"Upper respiratory infections","F","Black or African American, not of Hispanic origin","1"
"Diarrhoeal diseases","F","White, not of Hispanic origin","1"
"Leprosy","F","White, not of Hispanic origin","1"
"Leprosy","F","Unspecified","1"
"Meningitis","F","White, not of Hispanic origin","1"
"Dengue","F","White, not of Hispanic origin","1"
"Meningitis","M","Black or African American, not of Hispanic origin","2"
"Tuberculosis","M","Asian","1"
"Hepatitis B (d)","F","White, not of Hispanic origin","1"
"Diarrhoeal diseases","M","White, not of Hispanic origin","1"
"STDs excluding HIV","M","Black or African American, not of Hispanic origin","1"
"Lower respiratory infections","M","Black or African American, not of Hispanic origin","1"
"Intestinal nematode infections","F","Hispanic","1"
"HIV/AIDS","M","Black or African American, not of Hispanic origin","2"
"Intestinal nematode infections","F","Unspecified","1"
"STDs excluding HIV","M","White, not of Hispanic origin","1"
"Tuberculosis","F","White, not of Hispanic origin","1"
"Tuberculosis","F","Hispanic","1"
"Upper respiratory infections","F","White, not of Hispanic origin","1"
"Upper respiratory infections","M","Hispanic","1"
"Hepatitis B (d)","M","White, not of Hispanic origin","1"
"Malaria","M","Black or African American, not of Hispanic origin","2"
"Hepatitis C (d)","M","White, not of Hispanic origin","1"
"Upper respiratory infections","F","Unspecified","1"
"Other intestinal infections","F","Unspecified","1"
"Other intestinal infections","F","White, not of Hispanic origin","1"
"HIV/AIDS","F","Hispanic","1"
"Intestinal nematode infections","F","Black or African American, not of Hispanic origin","1"
"Other intestinal infections","M","Black or African American, not of Hispanic origin","1"
