"race_desc","disease_name","propensity_value"
"Black or African American, not of Hispanic origin","Malaria",10
"Unspecified","Dengue",10
"Hispanic","Trachoma",10
"Unspecified","Other intestinal infections",10
"Unspecified","Lower respiratory infections",10
"Asian","HIV/AIDS",10
"White, not of Hispanic origin","Leprosy",10
"White, not of Hispanic origin","Intestinal nematode infections",10
"Hispanic","Diarrhoeal diseases",9
"Unspecified","Hepatitis C (d)",9
"Unspecified","Trachoma",9
"Unspecified","HIV/AIDS",9
"White, not of Hispanic origin","Diarrhoeal diseases",9
"Black or African American, not of Hispanic origin","Other intestinal infections",8
"Hispanic","Malaria",8
"Black or African American, not of Hispanic origin","Meningitis",8
"White, not of Hispanic origin","Malaria",8
"Black or African American, not of Hispanic origin","Tuberculosis",8
"Black or African American, not of Hispanic origin","STDs excluding HIV",8
"Black or African American, not of Hispanic origin","Diarrhoeal diseases",8
"Unspecified","Malaria",7
"Hispanic","Dengue",7
"Asian","Hepatitis B (d)",7
"Asian","Leprosy",7
"Asian","Malaria",7
"Unspecified","Tuberculosis",7
"Black or African American, not of Hispanic origin","Intestinal nematode infections",7
"Hispanic","STDs excluding HIV",6
"Unspecified","Meningitis",6
"Asian","Meningitis",6
"Asian","Hepatitis C (d)",6
"Asian","Trachoma",6
"Asian","Upper respiratory infections",6
"Hispanic","HIV/AIDS",6
"Hispanic","Hepatitis C (d)",6
"Hispanic","Other intestinal infections",6
"Hispanic","Upper respiratory infections",6
"White, not of Hispanic origin","Hepatitis B (d)",6
"White, not of Hispanic origin","Trachoma",6
"White, not of Hispanic origin","Lower respiratory infections",6
"Hispanic","Tuberculosis",5
"White, not of Hispanic origin","Meningitis",5
"Black or African American, not of Hispanic origin","Hepatitis B (d)",5
"Black or African American, not of Hispanic origin","Upper respiratory infections",5
"Black or African American, not of Hispanic origin","Lower respiratory infections",4
"Asian","Diarrhoeal diseases",4
"Hispanic","Leprosy",4
"Unspecified","Upper respiratory infections",4
"Asian","Intestinal nematode infections",4
"Asian","Dengue",4
"White, not of Hispanic origin","HIV/AIDS",4
"Unspecified","Leprosy",4
"Unspecified","Diarrhoeal diseases",4
"Black or African American, not of Hispanic origin","Leprosy",4
"Asian","Tuberculosis",4
"Black or African American, not of Hispanic origin","HIV/AIDS",3
"White, not of Hispanic origin","Other intestinal infections",3
"Black or African American, not of Hispanic origin","Dengue",3
"Unspecified","Intestinal nematode infections",3
"Hispanic","Hepatitis B (d)",3
"White, not of Hispanic origin","Dengue",3
"White, not of Hispanic origin","Upper respiratory infections",2
"Hispanic","Intestinal nematode infections",2
"Black or African American, not of Hispanic origin","Trachoma",2
"Unspecified","STDs excluding HIV",2
"White, not of Hispanic origin","Tuberculosis",2
"White, not of Hispanic origin","STDs excluding HIV",2
"White, not of Hispanic origin","Hepatitis C (d)",2
"Asian","Lower respiratory infections",2
"Black or African American, not of Hispanic origin","Hepatitis C (d)",2
"Hispanic","Lower respiratory infections",1
"Asian","STDs excluding HIV",1
"Asian","Other intestinal infections",1
"Unspecified","Hepatitis B (d)",1
"Hispanic","Meningitis",1
